"","state.abb","name_census","population","geo_id","source_year","state.name","name","government_id","id","nces_district_id","year","category","identifier","current_assets","net_pension_assets","non_current_assets","net_opeb_assets","total_assets","net_pension_liability","net_opeb_liability","current_portion_long_term_liabilities","compensated_absences","current_liabilities","total_liabilities","bonds_outstanding","loans_outstanding","notes_outstanding","total_net_position_governmental","total_net_position_business","total_net_position","unrestricted","expenses","charges_for_services","operating_grants","capital_grants","general_revenue","activities_change_in_net_position","cash","receivables","revenues","name_midfile","flg_acfr","flg_muni","flg_county"
"120","FL","cape coral city",193994,"1210275","2023","Florida","cape coral","10203680100000",32301,NA,2023,"General Purpose","FL Cape Coral 2023",669735999,NA,1648952022,NA,2318688021,237857423,253086521,68307124,18676911,150540659,1418458610,479257028,NA,352610534,266087053,675517216,941604269,-222891545,527130194,238876656,41512968,88900111,229807258,71966799,438059787,30117604,599096993,"city of cape coral",1,1,0
"121","SD","sioux falls city",192700,"4659020","2023","South Dakota","sioux falls","42205000800000",38396,NA,2023,"General Purpose","SD Sioux Falls 2023",484342567,4972221,2396462217,3154547,2880804784,NA,NA,35180205,17141381,82736290,407095301,175954114,NA,141979674,1740970041,781962887,2522932928,385676770,389170411,132745235,40998098,112624558,339754186,236951666,365099691,56886146,626122077,"city of sioux falls",1,1,0
"122","AZ","peoria city",190966,"0454050","2023","Arizona","peoria","03200700900000",31635,NA,2023,"General Purpose","AZ Peoria 2023",572961057,NA,1786907422,3770153,2359868479,163840790,47813,51984123,20898731,115603922,619769145,292007479,68269734,NA,996889119,784478179,1781367298,203591895,394603815,144271050,29850458,33376186,258741684,71635563,504157217,39489700,466239378,"city of peoria",1,1,0
"123","RI","providence city",190932,"4459000","2023","Rhode Island","providence","40200400400000",98502,NA,2023,"General Purpose","RI Providence 2023",692822,NA,1317800,NA,2010622,1539259,876480,227319,42341,478483,3384302,456812,NA,151421,-2044171,400822,-1643349,-2799722,1117780,175303,506476,37634,499454,101087,407684,166463,1218867,"city of providence",1,1,0
"124","WA","vancouver city",190888,"5374060","2023","Washington","vancouver","48200600500000",42942,NA,2023,"General Purpose","WA Vancouver 2023",761325189,58795896,1349726384,NA,2111051573,13712395,22519482,35048518,18449991,74246106,181159863,36359244,3713003,NA,1224911192,719192841,1944104033,523244254,442035479,284885161,45242197,39659574,256050802,183802255,649681898,86316390,625837734,"city of vancouver",1,1,0
"125","TN","knoxville city",190728,"4740000","2023","Tennessee","knoxville","43204700100000",38549,NA,2023,"General Purpose","TN Knoxville 2023",831338648,NA,694931061,NA,1526269709,290433287,16651976,29309293,11528912,68630592,568625858,183935210,NA,2220000,745868661,150001306,895869967,401922264,339637643,30099683,33003956,8132224,358631812,90230032,21323505,216236102,429867675,"city of knoxville",1,1,0
"126","OH","akron city",190416,"3901000","2023","Ohio","akron","36207700100000",42939,NA,2023,"General Purpose","OH Akron 2023",374193374,974651,2565131864,NA,2939325238,396257853,82120349,105158949,13238506,282736607,2055557447,355750043,789689950,83314116,270412469,540721262,811133731,-412554612,588426424,170710624,37875265,59217340,322416707,1793512,213102981,153314120,590219936,"city of akron",1,1,0
"127","LA","shreveport city",187587,"2270000","2023","Louisiana","shreveport","19200900300000",1036345,NA,2023,"General Purpose","LA Shreveport 2023",435761356,NA,1882989534,NA,2318750890,443020000,290102000,81995500,11511000,165047567,1837154895,927497000,0,11852000,-106618705,562573894,455955189,-856788933,279202891,175860744,23665444,17756860,273875905,211956062,136289813,80682542,491158953,"city of shreveport",1,1,0
"128","AL","mobile city",187048,"0150000","2023","Alabama","mobile","01204900400000",31570,NA,2023,"General Purpose","AL Mobile 2023",482302637,NA,991583845,NA,1473886482,143418153,144609460,27669534,14763529,124301126,585327756,NA,NA,390000,870399463,84793448,955192911,-84063642,362234829,83273763,39027665,67842803,367724783,195634185,415371969,60573744,557869014,"city of mobile",1,1,0
"129","TX","brownsville city",186717,"4810768","2023","Texas","brownsville","44203100100000",38663,NA,2023,"General Purpose","TX Brownsville 2023",264107834,NA,536954608,NA,801062442,71835879,38576057,24856898,14338692,101294934,424532660,207575345,NA,NA,247297009,157477178,404774187,-12249603,201456128,48804945,52660431,15953418,112488690,28451356,81329887,45941408,229907484,"city of brownsville",1,1,0
"130","VA","newport news city",186243,"5156000","2023","Virginia","newport news","47212100100000",230388,NA,2023,"General Purpose","VA Newport News 2023",658176966,15396159,1415001896,NA,2073178862,347330733,80438124,86510622,20004278,180308145,1094924228,490382193,NA,2884176,613970481,444817259,1058787740,49713390,717233504,193245875,76230567,27719146,567265506,147227590,498035087,85333144,864461094,"city of newport news",1,1,0
"131","FL","fort lauderdale city",182775,"1224000","2023","Florida","fort lauderdale","10200600400000",32271,NA,2023,"General Purpose","FL Fort Lauderdale 2023",1310989528,NA,1679232647,NA,2990222175,400504265,11050366,75552779,39311440,212029093,1656148454,966370590,20345760,15329000,483284060,988248522,1471532582,184520269,736832781,440485247,50011175,16105381,368445571,138214593,817242516,84394617,875047374,"city of fort lauderdale",1,1,0
"132","TN","chattanooga city",181057,"4714000","2023","Tennessee","chattanooga","43203300100000",401755,NA,2023,"General Purpose","TN Chattanooga 2023",1340918647,0,3069405102,1278000,4410323749,372624567,79528485,58072348,31818545,329641727,1445719805,469136807,0,202341261,1568383429,1352753546,2921136975,263544884,1243086991,997232951,52209319,32852251,365668326,204875856,544277226,332965018,1447962847,"city of chattanooga",1,1,0
"133","AZ","tempe city",180576,"0473000","2023","Arizona","tempe","03200701200000",31638,NA,2023,"General Purpose","AZ Tempe 2023",746085507,0,1763186072,4700446,2509271579,168174590,101420323,108047074,36516176,276206155,1517585460,677049176,6576392,0,782705548,264015232,1046720780,346344655,597195376,181307105,36149703,22911000,288358552,-68469016,551084891,93988386,528726360,"city of tempe",1,1,0
"134","IL","aurora city",180526,"1703012","2023","Illinois","aurora","14204500100000",32805,NA,2023,"General Purpose","IL Aurora 2023",487415323,NA,838802329,NA,1326217652,483712000,93580000,26907266,22676000,93780220,900361713,185782000,13180000,410000,-37614598,275431166,237816568,-516586588,343702851,90890619,17049289,4113912,260057856,28408825,332079569,150268336,372111676,"city of aurora",1,1,0
"135","CA","santa rosa city",178128,"0670098","2023","California","santa rosa","05204900400000",162471,NA,2023,"General Purpose","CA Santa Rosa 2023",742797000,NA,1032157000,NA,1774954000,447683000,57186000,40988000,9784000,113028000,911960000,282680000,NA,NA,365379000,603065000,968444000,3009000,380043000,165295000,40123000,27472000,197718000,50565000,577839000,71532000,430608000,"city of santa rosa",1,1,0
"136","OR","eugene city",177195,"4123850","2023","Oregon","eugene","38202000400000",37565,NA,2023,"General Purpose","OR Eugene 2023",462481734,NA,883916335,3649598,1346398069,225008773,18669770,31297714,18847493,81410795,398244581,76688690,4000000,NA,674645015,298951771,973596786,-35619447,375442899,147320327,37158390,19779931,213299686,42115435,362899899,46917046,417558334,"city of eugene",1,1,0
"137","CA","elk grove city",176141,"0622020","2023","California","elk grove","05203430200000",49645,NA,2023,"General Purpose","CA Elk Grove 2023",431785275,NA,1163980185,NA,1595765460,20984379,14304934,4048348,5506239,44925251,125127139,38319773,NA,NA,1429818008,70234012,1500052020,62573261,233738655,61615982,42517986,10313084,102876477,-16415126,393138242,36432388,217323529,"city of elk grove",1,1,0
"138","OR","salem city",175472,"4164900","2023","Oregon","salem","38202401100000",37570,NA,2023,"General Purpose","OR Salem 2023",474291672,NA,1599759495,3046526,2074051167,157197368,17677690,35079572,14159158,71728552,564109952,315541837,NA,7669555,716082417,809995365,1526077782,-16522636,367778508,200502341,25815353,62880403,175891241,97310830,416756061,54025085,465089338,"city of salem",1,1,0
"139","CA","ontario city",175266,"0653896","2023","California","ontario","05203600700000",31845,NA,2023,"General Purpose","CA Ontario 2023",1060086725,NA,2031260061,NA,3091346786,121509944,19111624,42435493,21162213,173378667,1043219591,550748691,146963379,NA,1607129463,522417347,2129546810,599690197,575088998,314281776,16741634,65219650,320620568,141774630,828306499,99405339,716863628,"city of ontario",1,1,0
"140","CA","rancho cucamonga city",174624,"0659451","2023","California","rancho cucamonga","05203660100000",31853,NA,2023,"General Purpose","CA Rancho Cucamonga 2023",565913825,3524484,1071418184,3781924,1637332009,108546528,NA,9121174,8966282,44185250,163491462,NA,NA,NA,1447234164,61977961,1509212125,163971753,229618689,55987718,14283697,45766066,182542446,68961238,517900593,46990643,298579927,"city of rancho cucamonga",1,1,0
"141","CA","oceanside city",174048,"0653322","2023","California","oceanside","05203700900000",31860,NA,2023,"General Purpose","CA Oceanside 2023",606521103,NA,1091822177,NA,1698343280,269461194,9705999,20316498,18985136,84482019,531486335,76354367,62604049,NA,479756178,715237612,1194993790,267059947,430832468,225972968,61162120,4202415,198209589,58714624,533722324,49843632,489547092,"city of oceanside",1,1,0
"142","CA","lancaster city",173511,"0640130","2023","California","lancaster","05201960100000",31808,NA,2023,"General Purpose","CA Lancaster 2023",304294923,NA,958794924,NA,1263089847,73211155,8783733,7919637,3822670,60967078,245018309,93042950,6200170,311000,1025190861,10762536,1035953397,67765196,264015189,105211800,54094552,2997354,104095780,2384297,148975601,70594881,266399486,"city of lancaster",1,1,0
"143","CA","garden grove city",171973,"0629000","2023","California","garden grove","05203000800000",31823,NA,2023,"General Purpose","CA Garden Grove 2023",474753385,NA,869227753,NA,1343981138,343289843,41806355,19653580,8775274,51298438,532462843,60627733,NA,NA,690063985,210705979,900769964,60206876,274543089,76575343,72006617,2392033,170846543,47277447,434483650,35812134,321820536,"city of garden grove",1,1,0
"144","FL","pembroke pines city",171182,"1255775","2023","Florida","pembroke pines","10200650900000",43987,NA,2023,"General Purpose","FL Pembroke Pines 2023",337722860,NA,585313404,NA,923036264,356190171,49107224,34447956,18790219,101333798,751538817,244298658,NA,NA,104683934,264218695,368902629,-14918447,422118325,238303211,19602522,1992692,199203386,36983486,96648246,33894956,459101811,"city of pembroke pines",1,1,0
"145","CO","fort collins city",169827,"0827425","2023","Colorado","fort collins","06403591600000",138430,NA,2023,"General Purpose","CO Fort Collins 2023",637951965,NA,2018335734,NA,2656287699,10003381,NA,33823048,13284875,109712644,432402911,263294593,2941268,1387000,1257361364,925437272,2182798636,417057394,587461683,302052537,24021215,40275507,287963581,66851157,97976637,104099861,654312840,NA,1,1,0
"146","CA","palmdale city",169415,"0655156","2023","California","palmdale","05201970400000",31810,NA,2023,"General Purpose","CA Palmdale 2023",393035735,NA,712404509,NA,1105440244,58613322,199197,11494253,3953455,72312873,195090308,48389386,12573357,0,929738354,-1128896,928609458,82672276,203729381,84310042,19313133,33403301,97992479,31289574,4681392,52125191,235018955,"city of palmdale",1,1,0
"147","MO","springfield city",169168,"2970000","2023","Missouri","springfield","26203900300000",35129,NA,2023,"General Purpose","MO Springfield 2023",548202330,4896338,1028177145,NA,1576379475,88272578,NA,28055817,15593459,109635094,411366391,197671432,2281000,NA,669228882,526653549,1195882431,229538692,349073969,142439118,37313951,18811686,257461896,106952682,409435299,90413535,456026651,"city of springfield",1,1,0
"148","TN","clarksville city",166739,"4715160","2023","Tennessee","clarksville","43206300100000",38556,NA,2023,"General Purpose","TN Clarksville 2023",426869406,NA,1699200240,NA,2126069646,46855956,71787276,33302292,8535812,91318531,792081589,562589237,NA,43937377,510559822,816727669,1327287491,144961979,473842484,372056356,11125943,52836237,123732589,85908641,173626181,101604112,559751125,"city of clarksville",1,1,0
"149","CA","salinas city",163542,"0664224","2023","California","salinas","05202700800000",43471,NA,2023,"General Purpose","CA Salinas 2023",284387123,NA,413947847,NA,698334970,234075289,15530217,20111622,12462982,87966801,506685221,83670712,1015000,NA,193232231,52436096,245668327,-96281196,208286800,23676988,26805202,10065411,167998632,20259433,247677056,35766312,228546233,"city of salinas",1,1,0
"150","CA","hayward city",162948,"0633000","2023","California","hayward","05200100600000",44808,NA,2023,"General Purpose","CA Hayward 2023",536837774,NA,736901493,NA,1273739267,510093727,70524298,19254755,11614570,101441513,774802695,NA,35829099,NA,193062483,391853622,584916105,-103126228,352432732,129245333,35141869,12797724,216569448,41321642,489952527,42420829,393754374,"city of hayward",1,1,0
"151","NJ","paterson city",159759,"3457000",NA,NA,"paterson ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"152","VA","alexandria city",159461,"5101000","2023","Virginia","alexandria","47210100100000",230207,NA,2023,"General Purpose","VA Alexandria 2023",1107947483,5838816,1294428542,NA,2402376025,171139269,20869359,68021827,30623757,159787430,1416525174,1051558413,NA,NA,654609110,NA,654609110,345832599,1048404100,87230678,131458883,21074913,807559036,-1080590,681749262,404113926,1047323510,"city of alexandria",1,1,0
"153","CA","corona city",157154,"0616350","2023","California","corona","05203300600000",31831,NA,2023,"General Purpose","CA Corona 2023",596923072,NA,1317710685,NA,1914633757,51426581,93822770,41764443,13134972,150194563,613966915,291752489,15082217,NA,1034569375,328829946,1363399321,28569066,346192038,169671405,37936336,27006993,197923506,86346202,482323008,61991641,432538240,"city of corona",1,1,0
"154","KS","kansas city city",156606,"2036000","2023","Kansas","wyandotte county","17210500300000",40839,NA,2023,"General Purpose","KS Wyandotte county 2023",758342965,NA,2051209521,NA,2809552486,306917490,111396560,109698062,56128561,289722422,1937117628,1169456695,44651564,58004998,21929244,746483423,768412667,-199737802,760618030,447006113,33224553,9842501,313223434,42678571,NA,NA,803296601,"unified government of wyandotte county and kansas city",1,1,0
"155","CO","lakewood city",155975,"0843000","2023","Colorado","lakewood","06203080100000",32002,NA,2023,"General Purpose","CO Lakewood 2023",312453123,NA,570590165,2679406,883043288,1374602,8333549,2549565,6720866,35812547,62915362,NA,802405,NA,729487894,65493332,794981226,146681537,210144655,42412022,21651516,16925347,170371513,41215743,219031157,52144079,251360398,"city of lakewood",1,1,0
"156","MA","springfield city",155931,"2567000","2023","Massachusetts","springfield","22200700300000",34017,NA,2023,"General Purpose","MA Springfield 2023",479417255,NA,806826085,NA,1286243340,811591912,1246585073,45997172,24711253,190542376,2541955689,231100677,NA,6267949,-1436646189,-11381398,-1448027587,-2018787113,1108226649,49573575,716530094,25706205,329537759,13120984,358945129,33282010,1121347633,"city of springfield",1,1,0
"157","CA","sunnyvale city",155629,"0677000","2023","California","sunnyvale","05204301400000",41678,NA,2023,"General Purpose","CA Sunnyvale 2023",1010819054,NA,1333829299,NA,2344648353,446354132,45215024,30089703,21854147,102870370,935520305,33760622,129275045,NA,1106980054,414622330,1521602384,173221413,441100550,298912678,16024554,35430680,208980603,118247965,50171507,41911943,559348515,"city of sunnyvale",1,1,0
"158","MS","jackson city",153705,"2836000",NA,NA,"jackson ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"159","TX","killeen city",153143,"4839148","2023","Texas","killeen","44201400300000",38654,NA,2023,"General Purpose","TX Killeen 2023",275757627,NA,484503246,NA,760260873,79396284,13929601,21049083,15112084,64560077,396026121,243598427,NA,NA,125952008,282293601,408245609,32826160,207153427,105916670,15180889,21269641,108680186,43893959,211301479,39608652,251047386,"city of killeen",1,1,0
"160","FL","hollywood city",153036,"1232000","2023","Florida","hollywood","10200600700000",32273,NA,2023,"General Purpose","FL Hollywood 2023",843398293,NA,736066005,NA,1579464298,721829866,329694033,71364413,23507541,162790339,1575746317,87418977,129268333,164049000,-499665656,451589439,-48076217,-703136854,414851588,239557879,17080104,27781998,290888477,160456870,695690,26612870,575308458,"city of hollywood",1,1,0
"161","TN","murfreesboro city",152775,"4751560","2023","Tennessee","murfreesboro","43207500200000",38559,NA,2023,"General Purpose","TN Murfreesboro 2023",598956117,12680276,1662997212,NA,2261953329,52218655,366231510,51475547,22560837,106548046,882052520,332607233,41014878,0,748653581,506966521,1255620102,128728805,368900139,84690609,127949978,26459514,202791012,72990974,340369760,123720169,441891113,"city of murfreesboro",1,1,0
"162","TX","pasadena city",151897,"4856000","2023","Texas","pasadena","44210101700000",38681,NA,2023,"General Purpose","TX Pasadena 2023",489687452,NA,1028593215,NA,1518280667,58474591,54681908,16135565,31241523,87752159,408468725,179375329,NA,NA,842508953,306038896,1148547849,122722743,202487459,84674489,13241369,14915533,173561474,83905406,4081023,20346028,286392865,"city of pasadena",1,1,0
"163","WA","bellevue city",151864,"5305210","2023","Washington","bellevue","48201700400000",39547,NA,2023,"General Purpose","WA Bellevue 2023",1057041000,77124000,2757193000,NA,3814234000,14018000,22671000,31190000,16780000,105635000,462095000,303086000,NA,NA,2399806000,968712000,3368518000,676958000,514513000,291825000,34581000,24845000,375393000,212131000,809045000,99509000,726644000,"city of bellevue",1,1,0
"164","CA","pomona city",151445,"0658072","2023","California","pomona","05201903600000",31791,NA,2023,"General Purpose","CA Pomona 2023",355459349,NA,472532512,NA,827991861,32648571,87850591,25925618,11197811,109842914,642809105,390681696,NA,651463,107305744,121635670,228941414,-234641483,280688159,145028560,40193755,25202916,137486411,67223483,242832076,52645874,347911642,"city of pomona",1,1,0
"165","CA","escondido city",151074,"0622804","2023","California","escondido","05203700500000",31858,NA,2023,"General Purpose","CA Escondido 2023",317850713,NA,850300345,NA,1168151058,302518486,NA,13522233,8948246,96041936,642637367,139575948,67608882,NA,283974978,287008699,570983677,-112522762,263764465,136729652,20855845,33341133,116673715,43835880,208847518,64244232,307600345,"city of escondido",1,1,0
"166","IL","joliet city",150374,"1738570","2023","Illinois","joliet","14209900700000",96721,NA,2023,"General Purpose","IL Joliet 2023",503477904,NA,1147140782,NA,1650618686,413256848,691099954,92692685,17728921,182847552,1670287342,105099414,267707650,78190759,-314701277,288249245,-26452032,-899981418,338700558,113453155,8536405,6727364,314217537,104233903,155812858,113593983,442934461,"city of joliet",1,1,0
"167","SC","charleston city",150288,"4513330","2023","South Carolina","charleston","41201000100000",38278,NA,2023,"General Purpose","SC Charleston 2023",787827691,NA,1366752645,NA,2154580336,201835978,32596740,54345116,11251100,104789939,717677492,222028529,NA,9317522,1301842650,154455493,1456298143,-112659895,319462811,118323493,11534466,30964394,292585972,133945514,320298012,180067931,453408325,"city of charleston",1,1,0
"168","TX","mesquite city",150227,"4847892","2023","Texas","mesquite","44205702000000",38671,NA,2023,"General Purpose","TX Mesquite 2023",459149685,NA,786113560,NA,1245263245,121339950,30994233,45088822,21819038,76251128,851317110,544633442,NA,NA,151305205,297699740,449004945,-7026359,292720393,133828693,26916322,45159739,165910665,79095026,132988971,40895926,371815419,"city of mesquite",1,1,0
"169","IL","naperville city",149559,"1751622","2023","Illinois","naperville","14202201200000",57797,NA,2023,"General Purpose","IL Naperville 2023",324422711,NA,948384925,NA,1272807636,161250155,16787866,17574371,9913302,67713667,344682736,89274575,NA,NA,457838886,484565180,942404066,59129771,408111768,250293888,4132425,11973196,198875233,57162974,203436938,101798076,465274742,"city of naperville",1,1,0
"170","IL","rockford city",148662,"1765000","2023","Illinois","rockford","14210100600000",32817,NA,2023,"General Purpose","IL Rockford 2023",335480293,NA,599560198,NA,935040491,466505239,41926213,28606461,11010800,52466813,711481806,75162781,28498686,425795,22686609,204789920,227476529,-289144331,340308988,94131047,50161134,9508907,204166034,17658134,151800793,141272492,357967122,"city of rockford",1,1,0
"171","CT","bridgeport city",148644,"0908000","2023","Connecticut","bridgeport","07200100100000",32095,NA,2023,"General Purpose","CT Bridgeport 2023",473562192,67667,1411566294,NA,1885128486,497867893,766006328,62530056,26992533,246730004,2460562550,904703280,NA,21835482,-678418361,90679394,-587738967,-1457682445,844834064,68932049,421733969,23475971,391361541,60669466,302557413,95774967,905503530,"city of bridgeport",1,1,0
"172","NY","syracuse city",148608,"3673000","2023","New York","syracuse","33203401500000",36050,NA,2023,"General Purpose","NY Syracuse 2023",612084788,NA,1151285342,NA,1763370130,196248325,721716272,65269530,17064456,241544057,1691766120,520595121,15584792,16994585,-147781743,43562800,-104218943,-844088088,803988588,52036295,173348862,35595214,736408911,193400694,293524416,188225762,997389282,"city of syracuse",1,1,0
"173","CA","roseville city",147796,"0662938","2023","California","roseville","05203100500000",43704,NA,2023,"General Purpose","CA Roseville 2023",1071276423,NA,3456145226,NA,4527421649,440441166,78669118,45893426,27864385,147934291,953459069,165613599,77060646,NA,1436567739,2164653500,3601221239,310541038,578549481,428118607,45129926,119220010,222182277,236101339,888380759,121261115,814650820,"city of roseville",1,1,0
"174","GA","savannah city",147768,"1369000","2023","Georgia","savannah","11202500300000",32468,NA,2023,"General Purpose","GA Savannah 2023",728921620,NA,1734955135,17294345,2463876755,149756860,NA,36734806,29171241,85351140,534733671,246955033,16845471,NA,1260155649,727299316,1987454965,320723675,442948128,187661419,15876724,77622814,286034980,124247809,465551080,71603763,567195937,"city of savannah",1,1,0
"175","CA","torrance city",147071,"0680000","2023","California","torrance","05201904600000",31797,NA,2023,"General Purpose","CA Torrance 2023",369333819,NA,732486344,NA,1101820163,229369771,45657035,30859802,25065000,81649828,828405876,378365000,NA,1138331,-5859357,273129354,267269997,-314838701,372472060,126034388,43200208,38651300,261939520,97353356,294355155,60427427,469825416,"city of torrance",1,1,0
"176","CA","fullerton city",143638,"0628000","2023","California","fullerton","05203000700000",31822,NA,2023,"General Purpose","CA Fullerton 2023",282873466,NA,708255191,NA,991128657,291262326,26425210,9805161,2986939,80572415,447106440,10523270,10326161,NA,395076626,196387830,591464456,-97070716,199025191,104755805,23759574,7263374,105646015,42399577,241727235,34583206,241424768,"city of fullerton",1,1,0
"177","AZ","surprise city",143158,"0471510","2023","Arizona","surprise","03200750200000",31639,NA,2023,"General Purpose","AZ Surprise 2023",492761646,NA,1128926399,2672971,1621688045,121011948,37211,29443221,11682151,63437502,302895137,109890017,NA,2005000,868771811,468361413,1337133224,282793690,284379723,104522139,16226512,120444843,218826083,175639854,431699795,32940747,460019577,"city of surprise",1,1,0
"178","TX","mcallen city",142195,"4845384","2023","Texas","mcallen","44210800700000",44040,NA,2023,"General Purpose","TX Mcallen 2023",393092268,NA,1072451421,NA,1465543689,77953086,20420348,26925359,18535592,96607744,525570636,336788698,NA,NA,456759562,510676805,967436367,190246300,308694872,119053565,21299045,34983918,203034884,69676540,44237269,49387587,378371412,"city of mcallen",1,1,0
"179","CO","thornton city",141862,"0877290","2023","Colorado","thornton","06200100600000",31991,NA,2023,"General Purpose","CO Thornton 2023",723822088,121353,1394120944,NA,2117943032,7655238,8254097,15462312,11322964,87319534,336094249,143116543,NA,NA,599619859,1165006332,1764626191,552007771,320631897,113601770,10123191,59725685,246984354,109803103,626967030,89561168,430435000,"city of thornton",1,1,0
"180","CA","visalia city",141574,"0682954","2023","California","visalia","05205400600000",46963,NA,2023,"General Purpose","CA Visalia 2023",580210116,NA,785838772,NA,1366048888,156429080,NA,8763819,1215788,57267609,320857625,35995,84232241,NA,647564191,441838669,1089402860,249692210,203498994,96195292,24122463,17838199,139675404,74332364,508340071,62620130,277831358,"city of visalia",1,1,0
"181","KS","olathe city",141283,"2052575","2023","Kansas","olathe","17204601200000",33460,NA,2023,"General Purpose","KS Olathe 2023",470758890,NA,1280382481,NA,1751141371,131130977,34650338,60527453,6103597,172054768,688361656,390930660,7918611,73221379,683739088,346097497,1029836585,71903265,305333240,110049582,4641212,8113217,213392470,30863241,317620270,139998412,336196481,"city of olathe",1,1,0
"182","FL","gainesville city",141079,"1225175","2023","Florida","gainesville","10200100300000",44268,NA,2023,"General Purpose","FL Gainesville 2023",811563623,NA,2539222169,NA,3350785792,110409835,8578513,65896057,11395514,222474216,2543072215,2214028997,NA,30625842,239606526,511518879,751125405,163144724,694693016,533856563,36943176,12552854,131252308,19911885,286104183,67077908,714604901,"city of gainesville",1,1,0
"183","UT","west valley city city",140239,"4983470","2023","Utah","west valley ","45201860300000",102303,NA,2023,"General Purpose","UT West Valley City 2023",181657166,9190040,583590544,NA,765247710,9482597,NA,15868596,7585539,58203510,225511331,129150893,NA,27435045,444401983,72035619,516437602,26061691,171891945,50974636,31311344,20427705,102948754,33770494,47701175,52864062,205662439,"city of west valley city",1,1,0
"184","TX","waco city",140119,"4876000","2023","Texas","waco","44215501000000",38696,NA,2023,"General Purpose","TX Waco 2023",832453712,NA,1156462388,NA,1988916100,87743000,1593000,69932509,27602000,148951130,1022143471,784339000,NA,15437000,482603151,533419471,1016022622,234233223,366627477,174285503,34994470,29123606,219948081,91724183,549736585,45975957,458351660,"city of waco",1,1,0
"185","CA","orange city",139902,"0653980","2023","California","orange","05203001300000",42627,NA,2023,"General Purpose","CA Orange 2023",189479837,NA,877830103,NA,1067309940,62772858,37411365,23036160,10365453,50149407,462833707,301467907,147240,NA,557564551,139798400,697362951,-183586043,239406872,80038296,6116512,8934066,144753995,435997,149164007,28112325,239842869,"city of orange",1,1,0
"186","TX","denton city",139861,"4819972","2023","Texas","denton","44206100200000",43493,NA,2023,"General Purpose","TX Denton 2023",566117276,NA,2787007864,NA,3353125140,137889556,45214457,102162135,20916759,238868036,1868862040,1485890894,NA,7500000,446287278,1102794462,1549081740,195199155,723370953,507081692,10623546,55394418,226346486,76075189,271545884,70557042,799446142,"city of denton",1,1,0
"187","MI","warren city",139398,"2684000","2023","Michigan","warren","23205001400000",44420,NA,2023,"General Purpose","MI Warren 2023",240736319,NA,466563848,NA,707300167,229672339,163858881,23766061,13123344,65564608,641244449,170870423,NA,NA,25381597,134097568,159479165,-197112567,234231287,79301495,33570223,4516294,139401676,22558401,196107059,31656208,256789688,"city of warren",1,1,0
"188","CA","pasadena city",138719,"0656000","2023","California","pasadena","05201903500000",31790,NA,2023,"General Purpose","CA Pasadena 2023",793206000,NA,1464853000,NA,2258059000,575317000,75289000,71149000,12853,167789000,1318872000,422914000,5450000,4322000,233358000,893786000,1127144000,-67440000,753105000,422099000,111037000,28120000,291009000,99160000,645935000,99871000,852265000,"city of pasadena",1,1,0
"189","IA","cedar rapids city",137723,"1912000","2023","Iowa","cedar rapids","16205700300000",33329,NA,2023,"General Purpose","IA Cedar Rapids 2023",761717555,NA,1882670844,NA,2644388399,81459297,16011416,57378641,9837268,201985460,842554607,534022044,NA,42173546,1066565001,597189516,1663754517,312171744,383376173,217986867,63412015,60967984,189102179,148092872,502105802,213262843,531469045,"city of cedar rapids",1,1,0
"190","OH","dayton city",137624,"3921000","2023","Ohio","dayton","36205700400000",36942,NA,2023,"General Purpose","OH Dayton 2023",708117513,1123596,1166736058,NA,1874853571,341693759,17860335,33054768,16284818,112792600,731142020,236236013,25425800,NA,562758490,650178297,1212936787,253472284,441303511,177940640,68454352,27145953,245664211,77901645,568482820,115642964,519205156,"city of dayton",1,1,0
"191","NJ","elizabeth city",137310,"3421000","2023","New Jersey","elizabeth","31202000100000",35679,NA,2023,"General Purpose","NJ Elizabeth 2023",853471549,NA,104799802,NA,958271351,274167455,317658183,19139809,25531883,19139809,853471549,121948000,32397326,0,NA,NA,NA,NA,480571304,NA,NA,NA,550826837,70255533,309379281,59526629,550826837,"city of elizabeth",1,1,0
"192","VA","hampton city",137158,"5135000","2023","Virginia","hampton","47211500100000",230334,NA,2023,"General Purpose","VA Hampton 2023",542155037,NA,1013594635,NA,1555749672,123701727,80920186,47708367,9344695,130635626,728719123,407462849,NA,6153921,683570042,128836087,812406129,55411680,466545307,87847148,98298754,18382853,327544665,65528113,334875274,43268483,532073420,"city of hampton",1,1,0
"193","SC","columbia city",136803,"4516000","2023","South Carolina","columbia","41204000100000",38289,NA,2023,"General Purpose","SC Columbia 2023",633570285,NA,1607314371,NA,2240884656,213573182,214524145,39459153,11083527,144672739,1566873562,961291716,69798,225000,115681345,609293998,724975343,19127849,419312653,302063400,23181819,49595311,109958363,65486240,391822911,38698320,484798893,"city of columbia",1,1,0
