"","state.abb","state.name","id","geo_id","year","name","category","total_liabilities","current_liabilities","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","total_assets","current_assets","compensated_absences","expenses","revenues","unrestricted","population","median_hh_income_21","url"
"21","CA","California",31819,"0602000",2020,"anaheim","General Purpose",3138253000,169081000,790303000,0,161507000,0,5052277000,0,24248000,1274296000,1248256000,0,346825,81747,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Anaheim/CA%20Anaheim%202020.pdf"
"22","CA","California",31784,"0643000",2020,"long beach","General Purpose",5018598000,381852000,1205496000,0,9655000,0,11068728000,0,0,1771011000,1908857000,-513529000,466775,73905,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Long%20Beach/CA%20Long%20Beach%202020.pdf"
"23","CA","California",31759,"0627000",2020,"fresno","General Purpose",1541934000,207987000,0,244990000,148672000,0,4036592000,0,80002000,802265000,873186000,500142000,542252,61250,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fresno/CA%20Fresno%202020.pdf"
"24","CA","California",31822,"0628000",2020,"fullerton","General Purpose",363491931,32956583,249664639,0,32850952,0,0,0,3328703,192329235,208000136,-163473332,143638,95431,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Fullerton/CA%20Fullerton%202020.pdf"
"25","CA","California",31823,"0629000",2020,"garden grove","General Purpose",460312740,19901137,291898578,0,45756997,0,0,0,7816732,256266225,265140233,-71107859,171973,74109,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Garden%20Grove/CA%20Garden%20Grove%202020.pdf"
"26","CA","California",40789,"0630000",2020,"glendale","General Purpose",1089276000,66532000,598199000,0,15135000,0,0,0,31999000,690694000,702824000,49932000,196534,79633,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Glendale/CA%20Glendale%202020.pdf"
"27","CA","California",43912,"0603526",2020,"bakersfield","General Purpose",815271946,71337485,441885448,0,56993372,0,2785726117,0,20867857,555563131,595392599,-85669204,404440,66666,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Bakersfield/CA%20Bakersfield%202020.pdf"
"28","CA","California",44808,"0633000",2020,"hayward","General Purpose",706791155,49829133,440405937,0,79274721,0,0,0,9511174,294590451,335985050,0,162948,96386,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Hayward/CA%20Hayward%202020.pdf"
"29","CA","California",31824,"0636000",2020,"huntington beach","General Purpose",571233000,33152000,434815000,0,3652000,0,0,0,14248000,332175000,331647000,0,198723,107808,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Huntington%20Beach/CA%20Huntington%20Beach%202020.pdf"
"30","CA","California",31829,"0636770",2020,"irvine","General Purpose",247393000,57504000,146569000,0,8219000,0,3254585000,0,17328000,397833000,380188000,0,307665,105774,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Irvine/CA%20Irvine%202020.pdf"
"31","CA","California",149487,"0644000",2020,"los angeles","General Purpose",50943508000,3741504000,8541000000,0,2674034000,0,72988295000,0,943187000,16549940000,17463553000,-3531929000,3898767,70372,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Los%20Angeles/CA%20Los%20Angeles%202020.pdf"
"32","CA","California",31808,"0640130",2020,"lancaster","General Purpose",218058956,26647683,61325669,0,17310171,0,0,0,0,190308375,187477809,-71138308,173511,64242,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Lancaster/CA%20Lancaster%202020.pdf"
"33","CA","California",31888,"0648354",2020,"modesto","General Purpose",910981832,133992675,341835012,0,26459988,0,1908354523,0,11079022,394268352,434550143,0,218467,70469,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Modesto/CA%20Modesto%202020.pdf"
"34","CA","California",31838,"0649270",2020,"moreno valley","General Purpose",221955207,27193899,72896273,0,8175011,0,1263072982,0,6923677,216161418,214352086,0,208640,79840,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Moreno%20Valley/CA%20Moreno%20Valley%202020.pdf"
"35","LA","Louisiana",1036345,"2270000",2020,"shreveport","General Purpose",2178154165,31464314,405751570,0,664082313,0,0,0,8377000,451651917,413793869,-1029566537,187587,42034,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/LA/Shreveport/LA%20Shreveport%202020.pdf"
"36","OK","Oklahoma",1268097,"4075000",2020,"tulsa","General Purpose",1315222000,71276000,294125000,1166000,4648000,0,3709260000,0,37241000,591071000,679703000,0,413123,51008,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OK/Tulsa%20Oklahoma/OK%20Tulsa%20Oklahoma%202020.pdf"
"37","AL","Alabama",31566,"0107000",2020,"birmingham","General Purpose",2111691000,86363000,1272660000,309000,125983000,0,0,0,16596000,664515000,550887000,0,200646,36614,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Birmingham/AL%20Birmingham%202020.pdf"
"38","AL","Alabama",31569,"0137000",2020,"huntsville","General Purpose",1335234757,71574650,211600490,0,66108743,0,2123174696,0,23930976,432807149,444428253,0,215052,70757,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Huntsville/AL%20Huntsville%202020.pdf"
"39","AL","Alabama",31570,"0150000",2020,"mobile","General Purpose",621392380,56936110,146603377,0,178598607,0,0,0,13130005,309821682,386977361,-143314768,187048,43786,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Mobile/AL%20Mobile%202020.pdf"
"40","AL","Alabama",31571,"0151000",2020,"montgomery","General Purpose",986174728,24631078,213157950,0,467470259,0,0,0,20784491,284416819,306412895,0,200586,46957,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/AL/Montgomery/AL%20Montgomery%202020.pdf"
"41","CA","California",31740,"0653000",2020,"oakland","General Purpose",3808291000,324048000,1717434000,0,598569000,0,3706152000,0,57728000,1099603000,1318041000,0,440660,82236,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Oakland/CA%20Oakland%202020.pdf"
"42","CA","California",31860,"0653322",2020,"oceanside","General Purpose",421569771,42333290,240470627,0,9553658,0,0,0,16259524,353591946,386722415,0,174048,78125,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Oceanside/CA%20Oceanside%202020.pdf"
"43","CA","California",31845,"0653896",2020,"ontario","General Purpose",1001756842,85528981,314099446,0,162628638,0,0,0,19538243,453609668,469151898,0,175266,73872,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Ontario/CA%20Ontario%202020.pdf"
"44","CA","California",42627,"0653980",2020,"orange","General Purpose",364222774,26134943,258883340,0,50847439,0,0,0,9777634,207518185,192135537,0,139902,103045,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Orange/CA%20Orange%202020.pdf"
"45","CA","California",31895,"0654652",2020,"oxnard","General Purpose",825604830,28129048,298870202,0,46686235,0,0,0,19187695,405164855,404235917,-169722108,202067,88268,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Oxnard/CA%20Oxnard%202020.pdf"
"46","CA","California",31810,"0655156",2020,"palmdale","General Purpose",158184695,26748773,46963768,0,0,167939,0,0,3393768,137164385,152541234,0,169415,73417,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Palmdale/CA%20Palmdale%202020.pdf"
"47","CA","California",31790,"0656000",2020,"pasadena","General Purpose",1245311935,92000642,498493999,0,83758703,0,0,0,12136891,687860679,727765565,-119760377,138719,86677,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Pasadena/CA%20Pasadena%202020.pdf"
"48","CA","California",31836,"0662000",2020,"riverside","General Purpose",2997462000,113462000,599576000,0,50004000,0,4393462000,0,39333000,930318000,933925000,0,315014,76558,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Riverside/CA%20Riverside%202020.pdf"
"49","CA","California",43704,"0662938",2020,"roseville","General Purpose",1029218483,74250750,358844290,0,116072790,0,0,0,27300398,518216837,688607260,201600603,147796,107714,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Roseville/CA%20Roseville%202020.pdf"
"50","CA","California",42691,"0664000",2020,"sacramento","General Purpose",3150700000,246136000,1046941000,0,248904000,0,5307633000,0,47131000,1189043000,1344723000,0,524924,75311,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Sacramento/CA%20Sacramento%202020.pdf"
"51","CA","California",43471,"0664224",2020,"salinas","General Purpose",459873458,17972635,206626087,0,18966817,0,0,0,11981268,184646995,183398959,-125323158,163542,80154,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Salinas/CA%20Salinas%202020.pdf"
"52","MA","Massachusetts",34032,"2507000",2020,"boston","General Purpose",6518670000,591067000,1754871000,0,2273281000,0,4815378000,0,250008000,3645402000,4259188000,0,675632,79283,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Boston/MA%20Boston%202020.pdf"
"53","CA","California",31848,"0665000",2020,"san bernardino","General Purpose",700249533,31349043,443384956,0,13557801,0,1015938297,0,7708701,276848579,260211842,0,222068,65311,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Bernardino/CA%20San%20Bernardino%202020.pdf"
"54","CA","California",44032,"0666000",2020,"san diego","General Purpose",7466528000,695168000,2671000000,0,462516000,0,15727390000,0,91041000,3470006000,3435873000,-1910124000,1386960,93042,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/San%20Diego/CA%20San%20Diego%202020.pdf"
"55","CA","California",31791,"0658072",2020,"pomona","General Purpose",554632344,22687757,207192651,0,100986079,0,0,0,9470790,223605798,228126322,-251683417,151445,70494,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Pomona/CA%20Pomona%202020.pdf"
"56","CA","California",31826,"0669000",2020,"santa ana","General Purpose",1014020583,110846149,666536096,0,52935451,0,1662491327,0,28343832,526873913,529268827,0,310555,80265,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Ana/CA%20Santa%20Ana%202020.pdf"
"57","CA","California",31800,"0669088",2020,"santa clarita","General Purpose",217263369,36580252,38909366,0,16669651,0,1482565883,0,4263235,211788989,255859577,79413132,228679,109336,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Santa%20Clarita/CA%20Santa%20Clarita%202020.pdf"
"58","CA","California",31853,"0659451",2020,"rancho cucamonga","General Purpose",137954228,15139133,93739585,3554052,0,4701758,0,0,7755903,193727566,213567019,110812612,174624,83850,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Rancho%20Cucamonga/CA%20Rancho%20Cucamonga%202020.pdf"
"59","CA","California",146748,"0682590",2020,"victorville","General Purpose",491987855,17989988,63720138,0,35844837,0,0,0,5113518,226216145,228195275,-1978160,134802,65478,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Victorville/CA%20Victorville%202020.pdf"
"60","CA","California",46963,"0682954",2020,"visalia","General Purpose",284113303,22134109,135210187,0,0,0,0,0,6602570,182763780,234171131,0,141574,64165,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Visalia/CA%20Visalia%202020.pdf"
"61","CA","California",31865,"0675000",2020,"stockton","General Purpose",1157881712,53832392,536028393,0,67397341,0,2520974098,0,11960578,474735560,547984345,0,320810,69844,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Stockton/CA%20Stockton%202020.pdf"
"62","CA","California",41678,"0677000",2020,"sunnyvale","General Purpose",686877527,53665328,379265100,0,69598506,0,0,0,18358257,398368977,519311736,0,155629,156059,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Sunnyvale/CA%20Sunnyvale%202020.pdf"
"63","CO","Colorado",31994,"0804000",2020,"aurora","General Purpose",1061881120,92284768,141270730,7607439,19443717,0,6863302347,0,41436620,750721333,1158643331,0,386324,71647,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Aurora/CO%20Aurora%202020.pdf"
"64","CA","California",31797,"0680000",2020,"torrance","General Purpose",711850391,30344255,487648758,0,44544000,0,0,0,25449000,377360772,327990491,0,147071,100392,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CA/Torrance/CA%20Torrance%202020.pdf"
"65","OR","Oregon",37565,"4123850",2020,"eugene","General Purpose",409541314,44424107,233103473,0,17100078,0,0,0,15998371,357564775,362536439,-60622408,177195,59338,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OR/Eugene/OR%20Eugene%202020.pdf"
"66","FL","Florida",32278,"1214400",2020,"coral springs","General Purpose",205440575,23614279,45210431,0,22391567,0,0,0,7477835,205989455,219525912,38441549,134396,81067,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Coral%20Springs/FL%20Coral%20Springs%202020.pdf"
"67","CT","Connecticut",40820,"0952000",2020,"new haven","General Purpose",2634954940,102255307,856734909,0,820862459,0,0,0,22614739,918705401,814136815,-1548076973,134024,50569,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/New%20Haven/CT%20New%20Haven%202020.pdf"
"68","CO","Colorado",31999,"0816000",2020,"colorado springs","General Purpose",3956973674,291779855,424986000,4565101,84007000,0,7542959000,0,40877000,1404689849,1409978178,-78682031,479016,74579,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Colorado%20Springs/CO%20Colorado%20Springs%202020.pdf"
"69","MA","Massachusetts",34017,"2567000",2020,"springfield","General Purpose",2600100914,69446472,813906113,0,1475652046,0,0,0,23276096,998025574,942740003,0,155931,42498,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Springfield/MA%20Springfield%202020.pdf"
"70","FL","Florida",32271,"1224000",2020,"fort lauderdale","General Purpose",1338682563,127054032,120884019,0,37825906,0,0,0,39589506,605721816,695574905,0,182775,64912,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Fort%20Lauderdale/FL%20Fort%20Lauderdale%202020.pdf"
"71","CT","Connecticut",32098,"0973000",2020,"stamford","General Purpose",1286417466,57147585,258958069,0,286420145,0,0,0,21239913,723985785,792275354,-427294061,135451,100543,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/Stamford/CT%20Stamford%202020.pdf"
"72","FL","Florida",44268,"1225175",2020,"gainesville","General Purpose",2383064794,101541263,31574166,0,2006628,0,0,0,9967827,578331427,574862656,27956425,141079,40822,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Gainesville/FL%20Gainesville%202020.pdf"
"73","CO","Colorado",32002,"0843000",2020,"lakewood","General Purpose",56555690,24733520,549075,0,7487982,0,0,0,6829443,176965441,209614615,73334499,155975,77122,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Lakewood/CO%20Lakewood%202020.pdf"
"74","DC","District of Columbia",47298,"1150000",2020,"district of columbia","General Purpose",17091665000,2362726000,229413000,596347000,0,19048000,23488607000,0,494687000,16554615000,16397733000,0,689546,90088,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/DC/District%20of%20Columbia/DC%20District%20of%20Columbia%202020.pdf"
"75","FL","Florida",96403,"1230000",2020,"hialeah","General Purpose",1038077167,66240270,302477430,2878477,441473906,0,663204405,0,32843878,355212156,330547538,-634588753,223123,46674,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Hialeah/FL%20Hialeah%202020.pdf"
"76","CO","Colorado",31991,"0877290",2020,"thornton","General Purpose",346060015,58292534,3489185,3848920,5764238,0,0,0,9179198,278938395,351243369,362012842,141862,93873,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CO/Thornton/CO%20Thornton%202020.pdf"
"77","FL","Florida",32273,"1232000",2020,"hollywood","General Purpose",1605479101,45553928,650230567,0,530686603,0,0,0,17561910,484516266,424620705,0,153036,60490,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Hollywood/FL%20Hollywood%202020.pdf"
"78","FL","Florida",32292,"1235000",2020,"jacksonville","General Purpose",6319925000,214031000,2985785000,0,261160000,0,5124564000,0,145220000,2164006000,2123471000,0,949616,58621,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Jacksonville/FL%20Jacksonville%202020.pdf"
"79","FL","Florida",32301,"1210275",2020,"cape coral","General Purpose",1418663171,44588343,167243215,0,305799028,0,0,0,14454154,355895759,429566603,0,193994,66425,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Cape%20Coral/FL%20Cape%20Coral%202020.pdf"
"80","CT","Connecticut",32095,"0908000",2020,"bridgeport","General Purpose",2741214262,112405910,419012488,2826373,1075558017,0,0,0,30313994,817327426,755652953,-1767056141,148644,46445,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/CT/Bridgeport/CT%20Bridgeport%202020.pdf"
"81","MA","Massachusetts",41676,"2582000",2020,"worcester","General Purpose",2557768732,117944563,480989646,0,1026328269,0,0,0,16738000,1047374002,1014615416,0,206519,63194,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MA/Worcester/MA%20Worcester%202020.pdf"
"82","MD","Maryland",33980,"2404000",2020,"baltimore","General Purpose",9195780000,821471000,1875711000,9121000,1245666000,0,12011660000,0,175875000,3308251000,3193101000,-3601140000,585693,54652,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/MD/Baltimore/MD%20Baltimore%202020.pdf"
"83","FL","Florida",148141,"1253000",2020,"orlando","General Purpose",2034575660,318979012,289467567,0,350601860,0,3976993232,0,48675638,905574887,1079325407,50727208,307683,54167,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Orlando/FL%20Orlando%202020.pdf"
"84","OR","Oregon",37570,"4164900",2020,"salem","General Purpose",541494809,29108132,162618663,0,15891684,1625180,0,0,11223958,337924558,376672598,-28897366,175472,63927,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/OR/Salem/OR%20Salem%202020.pdf"
"85","FL","Florida",43987,"1255775",2020,"pembroke pines","General Purpose",667841417,27529980,242917045,0,71722400,0,0,0,15875130,346662247,353420045,-109181437,171182,76439,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Pembroke%20Pines/FL%20Pembroke%20Pines%202020.pdf"
"86","FL","Florida",1265863,"1258715",2020,"port st lucie","General Purpose",847402277,41295076,22989528,0,11426579,0,0,0,15291897,295368518,368694699,145655060,204856,71381,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Port%20St.%20Lucie/FL%20Port%20St.%20Lucie%202020.pdf"
"87","GA","Georgia",32468,"1369000",2020,"savannah","General Purpose",447277119,51197082,82031901,0,0,11541212,0,0,23565984,333694845,400569058,220127789,147768,49612,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/GA/Savannah/GA%20Savannah%202020.pdf"
"88","FL","Florida",398462,"1245000",2020,"miami","General Purpose",2854317892,127908952,994144647,0,867949431,0,1816112772,0,74312829,1095966163,1024569536,0,442260,48789,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Miami/FL%20Miami%202020.pdf"
"89","FL","Florida",32314,"1263000",2020,"st petersburg","General Purpose",1355292248,74380972,102271391,16809084,224027878,0,2532474006,0,32443000,606737722,662235246,275918144,258356,64141,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/St.%20Petersburg/FL%20St.%20Petersburg%202020.pdf"
"90","FL","Florida",32302,"1270600",2020,"tallahassee","General Purpose",1566127000,89501000,286749000,0,93361000,0,0,0,24514000,803064000,734522000,44060000,196171,51224,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Tallahassee/FL%20Tallahassee%202020.pdf"
"91","FL","Florida",32297,"1271000",2020,"tampa","General Purpose",1547995667,109988927,201706974,0,135123704,0,3854320368,0,66834663,922750269,992365061,346907497,384661,63404,"https://acfrs-docs.s3.us-east-2.amazonaws.com/acfrs/General%20Purpose/FL/Tampa/FL%20Tampa%202020.pdf"
